iter	Passed	Remaining
829	2326	8045
830	2329	8042
831	2332	8040
832	2335	8037
833	2338	8035
834	2341	8032
835	2343	8028
836	2345	8024
837	2348	8020
838	2350	8016
839	2353	8012
840	2356	8009
841	2359	8009
842	2362	8005
843	2365	8004
844	2368	8002
845	2371	7999
846	2374	7996
847	2377	7994
848	2379	7991
849	2382	7988
850	2385	7987
851	2388	7983
852	2390	7978
853	2393	7978
854	2396	7974
855	2399	7971
856	2401	7967
857	2404	7964
858	2407	7961
859	2410	7958
860	2413	7956
861	2416	7955
862	2419	7954
863	2422	7951
864	2425	7948
865	2427	7944
866	2430	7942
867	2433	7939
868	2436	7936
869	2439	7934
870	2441	7931
871	2444	7927
872	2447	7924
873	2449	7921
874	2452	7918
875	2455	7916
876	2459	7918
877	2462	7914
878	2464	7910
879	2467	7905
880	2469	7902
881	2472	7898
882	2474	7894
883	2477	7891
884	2480	7888
885	2482	7884
886	2485	7881
887	2488	7879
888	2491	7877
889	2494	7874
890	2496	7871
891	2499	7867
892	2502	7864
893	2504	7861
894	2507	7860
895	2510	7857
896	2513	7854
897	2516	7851
898	2519	7849
899	2522	7846
900	2524	7843
901	2527	7840
902	2530	7836
903	2533	7836
904	2536	7832
905	2538	7828
906	2541	7825
907	2543	7821
908	2546	7817
909	2548	7814
910	2551	7810
911	2554	7808
912	2556	7804
913	2559	7802
914	2563	7801
915	2565	7797
916	2568	7794
917	2570	7790
918	2573	7787
919	2575	7783
920	2578	7779
921	2581	7776
922	2583	7773
923	2586	7770
924	2589	7767
925	2591	7764
926	2594	7762
927	2597	7759
928	2600	7756
929	2603	7753
930	2605	7750
931	2608	7747
932	2611	7744
933	2613	7741
934	2616	7737
935	2619	7734
936	2622	7732
937	2624	7729
938	2627	7726
939	2630	7723
940	2633	7720
941	2635	7717
942	2638	7714
943	2641	7712
944	2644	7709
945	2647	7706
946	2649	7702
947	2652	7699
948	2655	7697
949	2658	7694
950	2660	7691
951	2663	7688
952	2666	7684
953	2668	7681
954	2671	7678
955	2674	7675
956	2676	7672
957	2679	7669
958	2682	7665
959	2684	7663
960	2687	7659
961	2690	7656
962	2692	7653
963	2695	7650
964	2698	7647
965	2701	7644
966	2704	7643
967	2707	7640
968	2709	7636
969	2712	7633
970	2715	7632
971	2719	7631
972	2721	7628
973	2724	7625
974	2727	7622
975	2729	7618
976	2732	7615
977	2734	7611
978	2737	7609
979	2740	7605
980	2742	7601
981	2744	7597
982	2747	7595
983	2750	7592
984	2753	7590
985	2756	7587
986	2759	7584
987	2761	7581
988	2764	7577
989	2766	7573
990	2769	7569
991	2771	7566
992	2774	7563
993	2777	7560
994	2779	7556
995	2781	7552
996	2784	7548
997	2787	7546
998	2789	7543
999	2793	7541
1000	2797	7542
1001	2800	7539
1002	2802	7536
1003	2805	7533
1004	2808	7531
1005	2811	7529
1006	2814	7527
1007	2817	7525
1008	2820	7522
1009	2822	7518
1010	2825	7514
1011	2827	7511
1012	2830	7507
1013	2832	7503
1014	2835	7499
1015	2837	7496
1016	2840	7492
1017	2843	7490
1018	2845	7487
1019	2848	7484
1020	2851	7481
1021	2853	7478
1022	2856	7475
1023	2858	7471
1024	2861	7468
1025	2864	7465
1026	2867	7462
1027	2869	7458
1028	2872	7455
1029	2874	7451
1030	2877	7448
1031	2879	7444
1032	2882	7442
1033	2885	7438
1034	2887	7435
1035	2890	7433
1036	2893	7429
1037	2895	7426
1038	2898	7422
1039	2901	7419
1040	2903	7417
1041	2906	7415
1042	2909	7411
1043	2911	7407
1044	2914	7403
1045	2916	7400
1046	2919	7396
1047	2921	7393
1048	2924	7389
1049	2926	7386
1050	2929	7382
1051	2931	7379
1052	2934	7375
1053	2936	7372
1054	2939	7370
1055	2942	7366
1056	2944	7363
1057	2947	7361
1058	2950	7358
1059	2953	7355
1060	2955	7352
1061	2958	7349
1062	2961	7346
1063	2963	7343
1064	2966	7340
1065	2969	7337
1066	2971	7333
1067	2974	7329
1068	2976	7326
1069	2979	7322
1070	2981	7319
1071	2984	7315
1072	2988	7315
1073	2991	7314
1074	2994	7312
1075	2997	7309
1076	2999	7306
1077	3002	7303
1078	3005	7300
1079	3007	7296
1080	3010	7293
1081	3012	7289
1082	3015	7285
1083	3017	7282
1084	3020	7278
1085	3022	7274
1086	3024	7271
1087	3027	7267
1088	3029	7263
1089	3031	7260
1090	3034	7256
1091	3036	7252
1092	3039	7249
1093	3041	7245
1094	3043	7241
1095	3046	7237
1096	3049	7236
1097	3052	7232
1098	3054	7229
1099	3057	7226
1100	3059	7223
1101	3062	7219
1102	3065	7218
1103	3069	7218
1104	3072	7214
1105	3074	7211
1106	3077	7208
1107	3079	7204
1108	3082	7201
1109	3084	7197
1110	3087	7194
1111	3089	7190
1112	3092	7187
1113	3094	7184
1114	3097	7182
1115	3100	7178
1116	3102	7174
1117	3105	7171
1118	3107	7167
1119	3109	7164
1120	3112	7160
1121	3114	7156
1122	3117	7153
1123	3119	7149
1124	3122	7146
1125	3124	7143
1126	3127	7140
1127	3129	7136
1128	3132	7133
1129	3135	7132
1130	3138	7129
1131	3141	7126
1132	3144	7123
1133	3147	7121
1134	3149	7117
1135	3151	7113
1136	3154	7110
1137	3156	7107
1138	3159	7103
1139	3161	7099
1140	3164	7097
1141	3166	7093
1142	3169	7090
1143	3171	7086
1144	3174	7083
1145	3176	7079
1146	3179	7076
1147	3181	7073
1148	3184	7069
1149	3187	7067
1150	3189	7063
1151	3192	7061
1152	3195	7058
1153	3197	7055
1154	3200	7052
1155	3202	7048
1156	3205	7045
1157	3208	7042
1158	3210	7038
1159	3213	7035
1160	3215	7032
1161	3218	7029
1162	3220	7026
1163	3223	7023
1164	3226	7021
1165	3229	7018
1166	3231	7014
1167	3234	7011
1168	3236	7008
1169	3239	7005
