iter	Logloss
1707	0.290328612
1708	0.2902002314
1709	0.2901098891
1710	0.2900781652
1711	0.2900007663
1712	0.2899588816
1713	0.2898999101
1714	0.289813989
1715	0.2897044749
1716	0.2896605421
1717	0.2896300538
1718	0.2895571028
1719	0.2895046023
1720	0.2894691015
1721	0.2893578828
1722	0.2892232074
1723	0.2891451839
1724	0.2890606163
1725	0.2890494458
1726	0.2889727417
1727	0.28894022
1728	0.288840588
1729	0.2887671964
1730	0.2886762232
1731	0.2886019577
1732	0.2885600846
1733	0.2885083685
1734	0.2884566211
1735	0.2884149875
1736	0.2883551565
1737	0.2882860965
1738	0.2882460398
1739	0.2881671671
1740	0.2881431077
1741	0.2880812263
1742	0.2880572822
1743	0.2880285953
1744	0.2879735086
1745	0.2879394831
1746	0.2878983497
1747	0.2878195037
1748	0.2877097408
1749	0.2876431604
1750	0.2875986019
1751	0.2875237245
1752	0.2874713903
1753	0.2874207052
1754	0.28739918
1755	0.2873787178
1756	0.2873333392
1757	0.2872584126
1758	0.2872326413
1759	0.2871559955
1760	0.2870650644
1761	0.2870428027
1762	0.2869883676
1763	0.2869638945
1764	0.2869295161
1765	0.286877682
1766	0.2868299442
1767	0.2867825606
1768	0.2867075163
1769	0.2866801231
1770	0.2866118949
1771	0.2865402448
1772	0.2865182486
1773	0.286465901
1774	0.2863711151
1775	0.2862957935
1776	0.2862520985
1777	0.2861903359
1778	0.2861194414
1779	0.2860227572
1780	0.2859635563
1781	0.28588194
1782	0.2858157759
1783	0.2857738927
1784	0.2857344152
1785	0.2856626677
1786	0.2856166683
1787	0.2855574914
1788	0.2855237571
1789	0.2854558794
1790	0.2853919285
1791	0.2853088112
1792	0.2852617853
1793	0.2852466886
1794	0.2851981525
1795	0.2851402863
1796	0.2850877899
1797	0.2849997164
1798	0.2849393861
1799	0.2849003487
1800	0.2848413205
1801	0.2847407143
1802	0.2846852804
1803	0.2846118897
1804	0.2845463422
1805	0.2844743953
1806	0.2843821347
1807	0.2843162914
1808	0.2842458789
1809	0.2842037126
1810	0.2840779568
1811	0.2840032079
1812	0.2839060268
1813	0.2838838839
1814	0.2838522807
1815	0.2838277487
1816	0.2837911918
1817	0.2837428935
1818	0.283705712
1819	0.283608319
1820	0.28357768
1821	0.2835401775
1822	0.283438374
1823	0.2833838854
1824	0.2833350831
1825	0.2832725504
1826	0.2832070202
1827	0.2831534623
1828	0.2830999164
1829	0.2830720488
1830	0.283037288
1831	0.2830139934
1832	0.282970678
1833	0.282898615
1834	0.2828486064
1835	0.2828080047
1836	0.2826920376
1837	0.2826392012
1838	0.2825928479
1839	0.2825685481
1840	0.2825458433
1841	0.2824757228
1842	0.2824238279
1843	0.2823923624
1844	0.2823777374
1845	0.282319556
1846	0.2822930491
1847	0.2822663056
1848	0.2821835027
1849	0.2821424845
1850	0.2821129391
1851	0.2820761114
1852	0.28200645
1853	0.2818955571
1854	0.2817781738
1855	0.2817393373
1856	0.2817135695
1857	0.2816647411
1858	0.2815957715
1859	0.2815191972
1860	0.2814573355
1861	0.2813897444
1862	0.2813579952
1863	0.2813116465
1864	0.2812331556
1865	0.2811442115
1866	0.2811242784
1867	0.2810904002
1868	0.2810556946
1869	0.2810037696
1870	0.2809483906
1871	0.280838173
1872	0.280801198
1873	0.28072082
1874	0.2806795697
1875	0.2806048254
1876	0.2805861914
1877	0.2805304642
1878	0.2805008607
1879	0.280404355
1880	0.280379823
1881	0.2803044782
1882	0.280221979
1883	0.2801564028
1884	0.280125737
1885	0.2801008796
1886	0.2800648499
1887	0.2800456234
1888	0.2799981471
1889	0.2799219891
1890	0.279821757
1891	0.2798048912
1892	0.2797809489
1893	0.2797141325
1894	0.2796614148
1895	0.2796189555
1896	0.2795998192
1897	0.2795683892
1898	0.2795219192
1899	0.279413429
1900	0.2793884244
1901	0.2793042059
1902	0.2792404967
1903	0.2792141955
1904	0.2791699677
1905	0.2791046284
1906	0.2790711641
1907	0.2790122516
1908	0.2789524844
1909	0.278887967
1910	0.2788044643
1911	0.2786683087
1912	0.2786193375
1913	0.2785243641
1914	0.2784685193
1915	0.2783699792
1916	0.2783051705
1917	0.2782556338
1918	0.2782293924
1919	0.2781184539
1920	0.2780400523
1921	0.2779952663
1922	0.2779299824
1923	0.2778748443
1924	0.2778093504
1925	0.2777795361
1926	0.2777610513
1927	0.2777192932
1928	0.2776497043
1929	0.2775748413
1930	0.2775425473
1931	0.2774108438
1932	0.2773654045
1933	0.2773340317
1934	0.2772805743
1935	0.2772327799
1936	0.2771539351
1937	0.2770646535
1938	0.2769790317
1939	0.2768980023
1940	0.2768557191
1941	0.2767712104
1942	0.2766901964
1943	0.2765835756
1944	0.276502901
1945	0.2764157171
1946	0.2763831356
1947	0.2763576367
1948	0.2762596694
1949	0.2761883778
1950	0.2761279072
1951	0.2760787841
1952	0.2760370618
1953	0.2759834865
1954	0.2759198351
1955	0.2758694136
1956	0.2758335138
1957	0.2757286921
1958	0.2757122381
1959	0.2756689478
1960	0.2756012424
1961	0.2755701056
1962	0.2754740681
1963	0.2754041068
1964	0.2753381813
1965	0.2753056677
1966	0.2752495252
1967	0.2752092486
1968	0.2751483939
1969	0.2750481435
1970	0.2750166233
1971	0.2749601387
1972	0.2748879321
1973	0.274793016
1974	0.2747460614
1975	0.2746863448
1976	0.2745983373
1977	0.2745697936
1978	0.2745332607
1979	0.2744854063
1980	0.2744310267
1981	0.2743883914
1982	0.2743413305
1983	0.2742718917
1984	0.2741586051
1985	0.2741056481
1986	0.2740521579
1987	0.2740231441
1988	0.274002506
1989	0.273910037
1990	0.2738331145
1991	0.2737643503
1992	0.273697322
1993	0.2736395607
1994	0.2735932976
1995	0.2735296157
1996	0.2734879195
1997	0.2734445557
1998	0.2733767654
1999	0.2733300038
2000	0.2732896933
2001	0.2732317817
2002	0.2731736924
2003	0.2731222085
2004	0.273081253
2005	0.2730331019
2006	0.2730156465
2007	0.2729808559
2008	0.2729410764
2009	0.2729056658
2010	0.2728720532
2011	0.2728552178
2012	0.2728142629
2013	0.2727272059
2014	0.2726892712
2015	0.2726307715
2016	0.2725991048
2017	0.2725208526
2018	0.2724918083
2019	0.2724008433
2020	0.2723069546
2021	0.2722739012
2022	0.2722281736
2023	0.2721876592
2024	0.2721169177
2025	0.2720827928
2026	0.27202724
2027	0.2719294629
2028	0.2718340737
2029	0.271756378
2030	0.2717200793
2031	0.2716902998
2032	0.2716184699
2033	0.2715965325
2034	0.2715441955
2035	0.2714977547
2036	0.2713994514
2037	0.2712822532
2038	0.2712463055
2039	0.2711619266
2040	0.2711274294
2041	0.2710826157
2042	0.2710606729
2043	0.2710332513
2044	0.2709183153
2045	0.2708539712
2046	0.2708151256
2047	0.2707854602
2048	0.27075223
2049	0.2707043453
2050	0.270659442
2051	0.2706435494
2052	0.2705738158
2053	0.2705278181
2054	0.2704601772
2055	0.2704170092
2056	0.2702942764
2057	0.2702601683
2058	0.2702291494
2059	0.2701924039
2060	0.2701128848
2061	0.2700832516
2062	0.2700639526
2063	0.269989621
2064	0.2699286136
2065	0.2698742965
2066	0.2698437475
2067	0.2697960638
2068	0.2697274193
2069	0.2696995266
2070	0.2696483379
2071	0.2696216524
2072	0.2695990064
2073	0.2695350826
2074	0.2694729268
2075	0.2693586938
2076	0.269320542
2077	0.2692181089
2078	0.269157196
2079	0.2691086045
2080	0.2690586735
2081	0.2690375582
2082	0.2689873166
2083	0.2689230084
